lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta_re_flat,theta_im_flat,theta_re_f0_980,theta_im_f0_980,theta_re_f0_600,theta_im_f0_600,theta_re_f0_1370,theta_im_f0_1370,theta_re_f0_1500,theta_im_f0_1500,theta_re_f2_1270,theta_im_f2_1270,theta.1.1,theta.2.1,theta.1.2,theta.2.2,theta.1.3,theta.2.3,theta.1.4,theta.2.4,theta.1.5,theta.2.5,theta.1.6,theta.2.6,theta.1.7,theta.2.7
-9240.94,0.9511,0.0900907,6,63,0,-4.886,-4.029,-1.43005,4.91132,0.504464,4.95157,2.83794,-0.477854,0.661263,-1.22166,-3.133,1.23194,-4.886,-4.029,-1.43005,4.91132,0.504464,4.95157,2.83794,-0.477854,0.661263,-1.22166,1,0,-3.133,1.23194
-9239.94,0.990636,0.0900907,5,31,0,-4.58909,-4.43131,-0.574252,4.54049,1.89513,4.99369,2.48013,-1.11787,0.603451,-1.1391,-2.91156,1.42979,-4.58909,-4.43131,-0.574252,4.54049,1.89513,4.99369,2.48013,-1.11787,0.603451,-1.1391,1,0,-2.91156,1.42979
-9243.39,0.75511,0.0900907,5,31,0,-4.80107,-4.10987,-0.885652,4.7626,1.41198,4.99397,2.47971,-1.28214,0.519453,-0.936917,-2.93144,1.46243,-4.80107,-4.10987,-0.885652,4.7626,1.41198,4.99397,2.47971,-1.28214,0.519453,-0.936917,1,0,-2.93144,1.46243
-9245.15,0.954553,0.0900907,5,31,0,-4.97073,-0.0403077,0.104598,4.78574,0.134761,4.91889,1.79656,-0.886299,0.62264,-1.12634,-2.97802,1.50722,-4.97073,-0.0403077,0.104598,4.78574,0.134761,4.91889,1.79656,-0.886299,0.62264,-1.12634,1,0,-2.97802,1.50722
-9242.48,0.990303,0.0900907,6,63,0,-4.45204,-4.21089,-0.773932,4.84617,1.33935,4.97434,2.17558,-0.452748,0.757695,-1.12602,-2.95605,1.62086,-4.45204,-4.21089,-0.773932,4.84617,1.33935,4.97434,2.17558,-0.452748,0.757695,-1.12602,1,0,-2.95605,1.62086
-9238.85,0.940423,0.0900907,5,31,0,-4.90549,-3.86102,-0.811466,4.76904,1.02681,4.97804,2.57682,-0.80603,0.596791,-1.11172,-2.94205,1.43568,-4.90549,-3.86102,-0.811466,4.76904,1.02681,4.97804,2.57682,-0.80603,0.596791,-1.11172,1,0,-2.94205,1.43568
-9239.9,0.872066,0.0900907,5,31,0,-4.87164,-4.17661,-0.916323,4.66307,1.60157,4.96521,2.69045,-1.24301,0.507607,-1.07673,-2.86416,1.38442,-4.87164,-4.17661,-0.916323,4.66307,1.60157,4.96521,2.69045,-1.24301,0.507607,-1.07673,1,0,-2.86416,1.38442
-9239.6,0.986143,0.0900907,6,63,0,-4.05441,-2.04973,-1.45497,4.8113,-0.505483,4.98596,2.0133,-0.414537,0.777043,-0.962104,-3.31165,1.02037,-4.05441,-2.04973,-1.45497,4.8113,-0.505483,4.98596,2.0133,-0.414537,0.777043,-0.962104,1,0,-3.31165,1.02037
-9242.13,0.690757,0.0900907,4,15,0,-3.82552,-2.5244,-1.25151,4.77803,-0.292405,4.99459,2.21768,-0.150644,0.792803,-0.957418,-3.21823,1.17395,-3.82552,-2.5244,-1.25151,4.77803,-0.292405,4.99459,2.21768,-0.150644,0.792803,-0.957418,1,0,-3.21823,1.17395
-9239.24,0.898207,0.0900907,5,31,0,-4.56709,-1.68468,-1.03983,4.81125,0.136011,4.92707,1.73828,-1.03866,0.70454,-1.00956,-3.33892,1.04451,-4.56709,-1.68468,-1.03983,4.81125,0.136011,4.92707,1.73828,-1.03866,0.70454,-1.00956,1,0,-3.33892,1.04451
-9238.77,0.860672,0.0900907,6,63,0,-4.55204,-1.69863,-1.15221,4.74033,-0.0670368,4.92074,1.88857,-0.941481,0.73517,-0.997909,-3.2945,0.984993,-4.55204,-1.69863,-1.15221,4.74033,-0.0670368,4.92074,1.88857,-0.941481,0.73517,-0.997909,1,0,-3.2945,0.984993
-9244.06,0.945969,0.0900907,5,31,0,-4.27835,-2.04011,-2.65776,4.93843,-1.11272,4.97833,2.24795,-1.01745,0.736228,-0.946148,-3.63751,0.254039,-4.27835,-2.04011,-2.65776,4.93843,-1.11272,4.97833,2.24795,-1.01745,0.736228,-0.946148,1,0,-3.63751,0.254039
-9242.35,0.919818,0.0900907,6,63,0,-3.47705,-1.5535,-1.75679,4.73869,-0.734327,4.97977,1.8551,-0.410717,0.923159,-0.969278,-3.47057,0.608159,-3.47705,-1.5535,-1.75679,4.73869,-0.734327,4.97977,1.8551,-0.410717,0.923159,-0.969278,1,0,-3.47057,0.608159
-9241.07,0.888436,0.0900907,6,63,0,-3.77802,-2.94512,-2.20252,4.85867,-0.547791,4.9691,2.15979,-0.46597,0.867731,-0.996647,-3.48274,0.585598,-3.77802,-2.94512,-2.20252,4.85867,-0.547791,4.9691,2.15979,-0.46597,0.867731,-0.996647,1,0,-3.48274,0.585598
-9244.78,0.982478,0.0900907,6,63,0,-3.97947,1.46289,-0.769498,4.79058,-1.35824,4.98205,1.42687,-1.24342,0.414551,-0.775911,-3.42421,0.841776,-3.97947,1.46289,-0.769498,4.79058,-1.35824,4.98205,1.42687,-1.24342,0.414551,-0.775911,1,0,-3.42421,0.841776
-9249.17,0.713169,0.0900907,5,31,0,-3.52123,2.2597,-0.872937,4.67367,-1.32295,4.99568,1.1379,-1.48494,0.544325,-0.822435,-3.39636,0.642686,-3.52123,2.2597,-0.872937,4.67367,-1.32295,4.99568,1.1379,-1.48494,0.544325,-0.822435,1,0,-3.39636,0.642686
-9249.17,0.156562,0.0900907,2,3,0,-3.52123,2.2597,-0.872937,4.67367,-1.32295,4.99568,1.1379,-1.48494,0.544325,-0.822435,-3.39636,0.642686,-3.52123,2.2597,-0.872937,4.67367,-1.32295,4.99568,1.1379,-1.48494,0.544325,-0.822435,1,0,-3.39636,0.642686
-9245.55,0.989163,0.0900907,5,31,0,-4.08446,0.0739107,-0.995542,4.76978,-0.351968,4.98545,1.56271,-1.70901,0.575029,-0.922382,-3.52824,0.528476,-4.08446,0.0739107,-0.995542,4.76978,-0.351968,4.98545,1.56271,-1.70901,0.575029,-0.922382,1,0,-3.52824,0.528476
-9245.71,0.993404,0.0900907,5,31,0,-4.68539,-0.789598,-0.841682,4.9494,-0.31964,4.86714,1.92576,-1.43954,0.364981,-0.822116,-3.32705,0.897563,-4.68539,-0.789598,-0.841682,4.9494,-0.31964,4.86714,1.92576,-1.43954,0.364981,-0.822116,1,0,-3.32705,0.897563
-9245.81,0.275502,0.0900907,5,31,0,-4.02402,-0.308767,-0.211372,4.63131,0.261547,4.99869,1.60541,-1.39357,0.527978,-1.07864,-3.1528,0.995761,-4.02402,-0.308767,-0.211372,4.63131,0.261547,4.99869,1.60541,-1.39357,0.527978,-1.07864,1,0,-3.1528,0.995761
-9247.71,0.981665,0.0900907,7,95,0,-4.81762,-3.44837,-2.32223,4.91046,0.108789,4.96223,2.54149,-1.41012,0.455613,-0.840679,-3.34517,0.808825,-4.81762,-3.44837,-2.32223,4.91046,0.108789,4.96223,2.54149,-1.41012,0.455613,-0.840679,1,0,-3.34517,0.808825
-9244.73,0.864064,0.0900907,5,31,0,-4.45884,-2.88248,-0.447157,4.77275,0.970026,4.9754,2.20911,-0.991732,0.578208,-1.31739,-3.17908,1.14053,-4.45884,-2.88248,-0.447157,4.77275,0.970026,4.9754,2.20911,-0.991732,0.578208,-1.31739,1,0,-3.17908,1.14053
-9241.39,0.952351,0.0900907,5,31,0,-4.70658,-1.6109,-1.31046,4.95022,-0.332437,4.93672,1.96859,-1.02855,0.605583,-0.852261,-3.26166,1.06917,-4.70658,-1.6109,-1.31046,4.95022,-0.332437,4.93672,1.96859,-1.02855,0.605583,-0.852261,1,0,-3.26166,1.06917
-9242.82,0.998795,0.0900907,6,63,0,-4.61861,-4.84017,-0.701547,4.78702,1.65065,4.9532,2.34016,-0.712796,0.606264,-0.923747,-2.83144,1.68677,-4.61861,-4.84017,-0.701547,4.78702,1.65065,4.9532,2.34016,-0.712796,0.606264,-0.923747,1,0,-2.83144,1.68677
-9244.35,0.82258,0.0900907,6,63,0,-4.91925,-4.69845,-1.25261,4.87563,1.03213,4.98144,2.71398,-0.565841,0.726319,-1.33506,-3.09273,1.25633,-4.91925,-4.69845,-1.25261,4.87563,1.03213,4.98144,2.71398,-0.565841,0.726319,-1.33506,1,0,-3.09273,1.25633
-9243.08,0.926185,0.0900907,7,127,0,-3.96107,-4.38804,-2.22715,4.62357,0.355936,4.95187,2.48503,-0.713897,0.789217,-0.97156,-3.21406,0.818129,-3.96107,-4.38804,-2.22715,4.62357,0.355936,4.95187,2.48503,-0.713897,0.789217,-0.97156,1,0,-3.21406,0.818129
-9246.17,0.994914,0.0900907,5,31,0,-4.05314,-4.30783,-2.86294,4.93765,-0.339797,4.96104,2.21046,-0.683193,0.960055,-0.914724,-3.54208,0.540367,-4.05314,-4.30783,-2.86294,4.93765,-0.339797,4.96104,2.21046,-0.683193,0.960055,-0.914724,1,0,-3.54208,0.540367
-9245.88,0.813553,0.0900907,5,31,0,-3.69485,-4.25537,-2.71511,4.83176,-0.285257,4.97422,2.39115,-0.34339,0.921321,-0.871675,-3.50281,0.691263,-3.69485,-4.25537,-2.71511,4.83176,-0.285257,4.97422,2.39115,-0.34339,0.921321,-0.871675,1,0,-3.50281,0.691263
-9241.11,0.979808,0.0900907,6,63,0,-3.95432,-3.66364,-2.48728,4.82638,-0.111803,4.96271,2.57072,-0.887992,0.800062,-1.02399,-3.47112,0.415809,-3.95432,-3.66364,-2.48728,4.82638,-0.111803,4.96271,2.57072,-0.887992,0.800062,-1.02399,1,0,-3.47112,0.415809
-9244.57,0.737026,0.0900907,5,31,0,-4.07588,-3.94869,-2.71435,4.40883,-0.102034,4.89185,2.70598,-0.731256,0.788996,-1.09025,-3.38469,0.578133,-4.07588,-3.94869,-2.71435,4.40883,-0.102034,4.89185,2.70598,-0.731256,0.788996,-1.09025,1,0,-3.38469,0.578133
-9248.11,0.985339,0.0900907,5,31,0,-4.79039,-3.66195,-2.1959,4.94328,-0.697834,4.99354,3.15521,-0.403046,0.728595,-1.21594,-3.40457,0.652787,-4.79039,-3.66195,-2.1959,4.94328,-0.697834,4.99354,3.15521,-0.403046,0.728595,-1.21594,1,0,-3.40457,0.652787
-9242.26,0.991976,0.0900907,5,31,0,-4.22729,-3.00251,-1.97702,4.80534,0.271117,4.92769,2.22358,-0.955967,0.847029,-1.10767,-3.35541,0.62654,-4.22729,-3.00251,-1.97702,4.80534,0.271117,4.92769,2.22358,-0.955967,0.847029,-1.10767,1,0,-3.35541,0.62654
-9240.6,0.932161,0.0900907,4,15,0,-4.63854,-3.66038,-2.15601,4.7972,0.0559135,4.96608,2.45794,-0.891576,0.727406,-1.0387,-3.38976,0.721573,-4.63854,-3.66038,-2.15601,4.7972,0.0559135,4.96608,2.45794,-0.891576,0.727406,-1.0387,1,0,-3.38976,0.721573
-9240.98,0.966676,0.0900907,6,63,0,-3.77953,-2.56113,-1.93182,4.66785,0.0691542,4.96013,2.30923,-1.16322,0.671427,-1.05424,-3.40285,0.530895,-3.77953,-2.56113,-1.93182,4.66785,0.0691542,4.96013,2.30923,-1.16322,0.671427,-1.05424,1,0,-3.40285,0.530895
-9240.7,0.90116,0.0900907,6,63,0,-4.38883,-4.10446,-1.4837,4.67786,0.937779,4.92781,2.05067,-0.970759,0.732948,-1.04524,-3.29957,1.01201,-4.38883,-4.10446,-1.4837,4.67786,0.937779,4.92781,2.05067,-0.970759,0.732948,-1.04524,1,0,-3.29957,1.01201
-9243.85,0.897841,0.0900907,6,63,0,-4.40144,-3.72524,-1.46036,4.96172,0.722144,4.96122,2.14959,-0.76788,0.831178,-0.919858,-3.11765,1.27546,-4.40144,-3.72524,-1.46036,4.96172,0.722144,4.96122,2.14959,-0.76788,0.831178,-0.919858,1,0,-3.11765,1.27546
-9242.41,0.998584,0.0900907,6,63,0,-4.43733,-2.45895,-1.95741,4.76896,-0.0167619,4.97391,2.75464,-1.15475,0.663203,-1.22948,-3.28906,0.539051,-4.43733,-2.45895,-1.95741,4.76896,-0.0167619,4.97391,2.75464,-1.15475,0.663203,-1.22948,1,0,-3.28906,0.539051
-9242.01,0.612199,0.0900907,5,31,0,-4.76309,-4.75059,-2.15829,4.86343,0.833725,4.93741,2.58065,-1.11028,0.69889,-1.1159,-3.28504,0.817633,-4.76309,-4.75059,-2.15829,4.86343,0.833725,4.93741,2.58065,-1.11028,0.69889,-1.1159,1,0,-3.28504,0.817633
-9241.9,0.950776,0.0900907,6,63,0,-4.15246,-2.13876,-2.07102,4.62104,-0.432511,4.97365,2.59911,-0.721023,0.633522,-1.13033,-3.35125,0.6564,-4.15246,-2.13876,-2.07102,4.62104,-0.432511,4.97365,2.59911,-0.721023,0.633522,-1.13033,1,0,-3.35125,0.6564
-9246.39,0.91691,0.0900907,6,63,0,-4.87461,-4.97186,-1.40564,4.82683,1.81743,4.95682,2.42235,-1.5711,0.529776,-1.16272,-3.21354,1.00911,-4.87461,-4.97186,-1.40564,4.82683,1.81743,4.95682,2.42235,-1.5711,0.529776,-1.16272,1,0,-3.21354,1.00911
-9241.62,0.860331,0.0900907,6,63,0,-4.62476,-4.86167,-1.82915,4.83848,1.22461,4.94507,2.70409,-0.942936,0.75035,-1.13102,-3.12395,1.05075,-4.62476,-4.86167,-1.82915,4.83848,1.22461,4.94507,2.70409,-0.942936,0.75035,-1.13102,1,0,-3.12395,1.05075
-9241.54,0.978269,0.0900907,6,63,0,-4.75848,-0.37452,0.249534,4.95011,0.199175,4.94505,1.40648,-1.15126,0.623315,-0.908875,-3.12176,1.43561,-4.75848,-0.37452,0.249534,4.95011,0.199175,4.94505,1.40648,-1.15126,0.623315,-0.908875,1,0,-3.12176,1.43561
